date,product_id,product_name,category,supplier_id,current_stock,max_stock_capacity,safety_stock,reserved_stock,avg_sales_7d,avg_sales_30d,avg_sales_90d,quantity_sold,number_of_orders,revenue,returns,supplier_lead_time,supplier_reliability,month,quarter,season,holiday_indicator,event_type,impact_score,region,future_demand
2023-10,P003,Amoxicillin,Antibiotic,S007,1371,4526,489,241,113,114,122,3420,210,30780,88,19,0.8,10,4,Autumn,0,None,0,Beja,2528
2023-10,P006,Antihistamine,Allergy,S002,1497,6380,214,84,98,127,139,4445,658,26670,14,7,0.98,10,4,Autumn,0,Virus_Outbreak,90,Sousse,4736
2026-03,P003,Amoxicillin,Antibiotic,S008,4113,6731,227,74,32,56,70,1400,269,35000,26,7,0.98,3,1,Spring,0,Allergy_Season,60,Bizerte,1562
2023-01,P004,Cough Syrup,Respiratory,S007,722,4813,230,103,270,260,256,7800,824,397800,62,7,0.86,1,1,Winter,0,Flu_Outbreak,70,Gabes,8601
2023-01,P004,Cough Syrup,Respiratory,S005,1632,7095,296,228,133,148,168,3996,811,171828,82,19,0.93,1,1,Winter,1,Ramadan,30,Nabeul,4587
2022-12,P009,Omeprazole,Digestive,S006,4268,7830,186,101,79,72,88,1728,329,51840,18,19,0.92,12,4,Winter,0,Flu_Outbreak,70,Gabes,1693
2023-12,P005,Vitamin C,Supplement,S010,3575,6181,687,70,70,94,106,3666,819,172302,63,17,0.98,12,4,Winter,0,Cold_Wave,50,Sousse,3542
2024-05,P010,Metformin,Diabetes,S008,4331,6936,310,199,31,42,49,1092,975,14196,19,2,0.74,5,2,Spring,0,Cold_Wave,50,Sfax,1360
2023-09,P006,Antihistamine,Allergy,S006,1197,7968,415,143,42,44,57,1144,262,18304,87,20,0.7,9,3,Autumn,0,None,0,Gabes,993
2022-11,P006,Antihistamine,Allergy,S004,2427,7195,781,140,25,20,35,620,385,31000,60,8,0.88,11,4,Autumn,0,None,0,Nabeul,461
2025-05,P002,Ibuprofen,Painkiller,S004,4284,4707,463,276,40,37,41,1295,553,33670,60,12,0.83,5,2,Spring,0,Allergy_Season,60,Beja,1061
2025-12,P001,Paracetamol,Painkiller,S002,3432,7615,602,160,102,92,79,3312,883,135792,18,15,0.8,12,4,Winter,1,Eid,25,Bizerte,2318
2026-09,P015,Salbutamol,Respiratory,S003,4052,7253,766,87,158,168,188,4872,506,116928,34,9,0.71,9,3,Autumn,0,Flu_Outbreak,70,Nabeul,5176
2025-04,P008,Aspirin,Cardiology,S003,1920,4823,482,211,25,38,18,798,247,27132,89,20,0.78,4,2,Spring,0,Cold_Wave,50,Gabes,1276
2026-04,P015,Salbutamol,Respiratory,S008,2273,6569,663,216,60,59,44,1593,600,93987,12,7,0.75,4,2,Spring,0,None,0,Nabeul,2024
2024-02,P004,Cough Syrup,Respiratory,S006,2343,5778,221,42,106,99,90,2277,241,36432,88,7,0.89,2,1,Winter,1,Ramadan,30,Tunis,2565
2023-06,P007,Insulin,Diabetes,S005,3226,6877,705,101,111,118,129,2596,549,77880,8,14,0.82,6,2,Summer,0,Virus_Outbreak,90,Sousse,4561
2025-04,P011,Azithromycin,Antibiotic,S007,2431,6447,109,18,157,162,144,5184,161,259200,78,15,0.97,4,2,Spring,0,Flu_Outbreak,70,Sousse,3374
2024-09,P006,Antihistamine,Allergy,S006,2206,5874,182,15,24,26,7,728,236,37856,26,13,0.84,9,3,Autumn,1,Eid,25,Gabes,790
2025-10,P001,Paracetamol,Painkiller,S004,1008,6877,276,185,21,25,20,725,362,31900,6,16,0.83,10,4,Autumn,0,None,0,Sousse,479
2026-05,P006,Antihistamine,Allergy,S010,3991,6544,574,222,148,157,158,4553,594,150249,41,6,0.95,5,2,Spring,0,None,0,Bizerte,3283
2022-01,P014,Diclofenac,Painkiller,S009,4519,6910,484,18,80,81,63,2916,204,131220,83,17,0.75,1,1,Winter,0,Virus_Outbreak,90,Beja,3272
2022-01,P014,Diclofenac,Painkiller,S009,3899,5555,433,231,98,89,85,3026,458,39338,68,5,0.74,1,1,Winter,1,Eid,25,Tunis,2395
2023-04,P002,Ibuprofen,Painkiller,S009,3783,5869,688,56,68,63,58,2457,571,71253,81,7,0.85,4,2,Spring,0,Heat_Wave,40,Beja,1989
2022-12,P012,Nasal Spray,Respiratory,S008,1032,5137,732,43,189,210,214,4830,360,77280,26,9,0.74,12,4,Winter,0,None,0,Sousse,6952
2024-08,P009,Omeprazole,Digestive,S003,1883,5616,657,58,34,53,55,1855,727,22260,80,14,0.88,8,3,Summer,1,Eid,25,Beja,1758
2024-08,P004,Cough Syrup,Respiratory,S005,3859,5509,401,238,74,97,99,2231,124,116012,22,9,0.95,8,3,Summer,0,Heat_Wave,40,Sfax,2059
2022-10,P005,Vitamin C,Supplement,S003,2339,5954,141,119,68,80,98,1680,325,20160,98,5,0.72,10,4,Autumn,0,Allergy_Season,60,Tunis,1950
2026-11,P007,Insulin,Diabetes,S008,4191,7296,500,79,87,100,98,2900,452,142100,64,2,0.97,11,4,Autumn,1,Eid,25,Bizerte,3026
2024-03,P013,Cetirizine,Allergy,S006,610,6106,234,90,151,167,172,5010,580,155310,79,8,0.95,3,1,Spring,0,Heat_Wave,40,Tunis,5417
2022-09,P007,Insulin,Diabetes,S004,2268,5949,424,14,63,73,55,2117,600,120669,5,17,0.9,9,3,Autumn,0,Heat_Wave,40,Bizerte,2028
2025-07,P002,Ibuprofen,Painkiller,S006,1460,5682,684,29,110,129,149,3096,199,89784,25,4,0.82,7,3,Summer,1,Ramadan,30,Bizerte,4146
2023-12,P010,Metformin,Diabetes,S007,799,6682,360,294,46,67,64,1876,416,108808,4,8,0.74,12,4,Winter,0,None,0,Sfax,1636
2025-06,P001,Paracetamol,Painkiller,S009,2064,6137,363,67,107,124,125,2728,415,120032,80,9,0.78,6,2,Summer,1,Ramadan,30,Nabeul,4448
2024-05,P006,Antihistamine,Allergy,S003,4358,6751,453,237,148,138,147,3312,884,122544,66,13,0.8,5,2,Spring,0,Flu_Outbreak,70,Bizerte,3497
2025-06,P008,Aspirin,Cardiology,S005,4366,7325,480,129,46,37,57,1332,915,6660,5,14,0.95,6,2,Summer,0,Virus_Outbreak,90,Beja,1374
2023-10,P015,Salbutamol,Respiratory,S003,2208,5862,649,192,20,16,5,640,215,29440,41,13,0.98,10,4,Autumn,0,Allergy_Season,60,Sfax,751
2024-10,P007,Insulin,Diabetes,S003,1600,7066,322,245,91,85,66,2635,619,110670,84,12,0.83,10,4,Autumn,0,Virus_Outbreak,90,Nabeul,2029
2026-11,P014,Diclofenac,Painkiller,S002,3663,6465,710,189,20,37,38,1073,509,36482,4,14,0.95,11,4,Autumn,0,Heat_Wave,40,Gabes,1157
2024-05,P015,Salbutamol,Respiratory,S003,2488,4156,346,255,89,99,94,3168,744,91872,90,16,0.92,5,2,Spring,0,None,0,Tunis,2245
2023-08,P011,Azithromycin,Antibiotic,S005,3846,6203,597,215,79,70,88,2310,804,83160,84,16,0.75,8,3,Summer,0,Heat_Wave,40,Gabes,1741
2024-12,P009,Omeprazole,Digestive,S008,4018,5861,161,282,89,116,107,3016,457,102544,87,6,0.76,12,4,Winter,0,Allergy_Season,60,Gabes,4237
2022-09,P009,Omeprazole,Digestive,S007,4683,4118,739,8,29,25,30,900,486,33300,24,14,0.91,9,3,Autumn,1,Ramadan,30,Gabes,843
2022-09,P005,Vitamin C,Supplement,S008,4232,4676,293,240,33,61,73,2135,346,74725,2,14,0.99,9,3,Autumn,1,Ramadan,30,Gabes,2462
2026-10,P006,Antihistamine,Allergy,S001,1290,7751,336,201,104,130,115,3120,157,62400,47,18,0.92,10,4,Autumn,0,None,0,Sfax,3005
2025-11,P002,Ibuprofen,Painkiller,S004,992,7698,689,182,90,94,99,2068,613,12408,90,6,0.98,11,4,Autumn,0,Heat_Wave,40,Gabes,2218
2026-04,P003,Amoxicillin,Antibiotic,S003,4573,6897,104,104,105,133,138,3724,273,193648,29,9,0.93,4,2,Spring,1,Eid,25,Gabes,4647
2025-12,P012,Nasal Spray,Respiratory,S009,756,6928,282,26,76,102,102,2550,424,130050,60,12,0.75,12,4,Winter,0,Heat_Wave,40,Beja,3389
2024-05,P009,Omeprazole,Digestive,S002,804,7340,759,72,27,36,50,1260,659,66780,53,2,0.91,5,2,Spring,0,Cold_Wave,50,Bizerte,1476
2022-02,P001,Paracetamol,Painkiller,S004,1654,4901,708,49,54,70,84,2170,84,82460,30,8,0.74,2,1,Winter,1,Ramadan,30,Gabes,2488
2024-02,P010,Metformin,Diabetes,S004,4095,6453,665,287,66,63,53,1638,994,62244,50,5,0.74,2,1,Winter,0,Heat_Wave,40,Nabeul,1624
2025-09,P009,Omeprazole,Digestive,S008,1604,4845,400,150,84,92,106,2760,934,52440,72,12,0.85,9,3,Autumn,1,Ramadan,30,Gabes,2159
2022-02,P007,Insulin,Diabetes,S008,2761,7344,480,5,56,61,76,1891,962,60512,62,16,0.96,2,1,Winter,0,None,0,Bizerte,1942
2023-04,P008,Aspirin,Cardiology,S003,4069,7496,148,4,105,103,105,3502,92,189108,53,5,0.9,4,2,Spring,0,Heat_Wave,40,Sfax,2311
2025-07,P002,Ibuprofen,Painkiller,S004,662,4092,690,167,79,86,87,1892,965,26488,48,5,0.82,7,3,Summer,0,Virus_Outbreak,90,Sfax,3740
2025-06,P008,Aspirin,Cardiology,S001,4574,5791,367,292,105,125,140,2625,737,86625,44,20,0.83,6,2,Summer,0,None,0,Gabes,3872
2023-09,P005,Vitamin C,Supplement,S006,4942,6566,150,15,44,70,60,2520,327,30240,36,19,0.87,9,3,Autumn,0,None,0,Beja,2556
2023-02,P008,Aspirin,Cardiology,S006,946,7135,469,152,90,89,105,2225,120,82325,44,11,0.9,2,1,Winter,0,Cold_Wave,50,Tunis,3285
2024-10,P013,Cetirizine,Allergy,S004,2408,7631,268,151,53,44,59,1584,365,38016,93,10,0.85,10,4,Autumn,0,Virus_Outbreak,90,Nabeul,1786
2026-06,P008,Aspirin,Cardiology,S010,1757,7191,626,112,103,105,86,2100,307,98700,87,19,0.96,6,2,Summer,0,Cold_Wave,50,Beja,3981
2025-05,P009,Omeprazole,Digestive,S006,3641,5033,576,72,46,55,63,1980,275,81180,37,17,0.84,5,2,Spring,0,Heat_Wave,40,Tunis,1157
2026-03,P008,Aspirin,Cardiology,S009,773,7689,686,253,49,67,65,2345,59,100835,55,14,0.91,3,1,Spring,0,Flu_Outbreak,70,Beja,2556
2023-03,P009,Omeprazole,Digestive,S006,2665,7702,409,40,40,64,77,1472,367,78016,6,7,0.86,3,1,Spring,0,Heat_Wave,40,Gabes,1712
2023-03,P013,Cetirizine,Allergy,S009,2565,4116,566,296,149,160,142,3680,414,121440,3,9,0.75,3,1,Spring,1,Eid,25,Sousse,3165
2025-05,P011,Azithromycin,Antibiotic,S002,3207,4607,109,83,51,80,79,2320,543,64960,72,17,0.73,5,2,Spring,0,Heat_Wave,40,Tunis,3292
2026-01,P014,Diclofenac,Painkiller,S010,2998,6489,531,128,102,122,114,2928,842,61488,91,20,0.94,1,1,Winter,1,Eid,25,Sousse,4353
2026-08,P004,Cough Syrup,Respiratory,S005,2897,7299,643,219,25,53,65,1166,584,26818,90,5,0.92,8,3,Summer,0,Allergy_Season,60,Tunis,1724
2023-02,P015,Salbutamol,Respiratory,S002,1763,6772,736,105,259,281,271,10959,711,536991,64,9,0.99,2,1,Winter,0,Virus_Outbreak,90,Nabeul,8646
2022-12,P015,Salbutamol,Respiratory,S009,3754,6062,239,160,99,120,111,3360,574,110880,56,16,0.82,12,4,Winter,0,Cold_Wave,50,Tunis,4655
2024-08,P014,Diclofenac,Painkiller,S002,3231,6893,221,199,24,54,54,1512,174,89208,45,2,0.87,8,3,Summer,1,Ramadan,30,Tunis,2064
2023-02,P014,Diclofenac,Painkiller,S008,1715,4195,279,72,64,62,51,2418,490,29016,24,11,0.77,2,1,Winter,1,Ramadan,30,Nabeul,2135
2025-09,P010,Metformin,Diabetes,S006,2192,5895,245,68,120,130,138,4160,268,149760,37,15,0.82,9,3,Autumn,1,Eid,25,Nabeul,2559
2022-12,P002,Ibuprofen,Painkiller,S004,1832,4349,250,148,62,90,75,2610,974,23490,86,12,0.92,12,4,Winter,0,Virus_Outbreak,90,Sousse,2195
2025-03,P015,Salbutamol,Respiratory,S003,4043,5499,572,248,42,49,35,1568,606,62720,15,12,0.9,3,1,Spring,0,Heat_Wave,40,Sfax,1752
2022-03,P008,Aspirin,Cardiology,S005,3482,4695,172,120,27,26,23,546,873,8736,59,12,0.76,3,1,Spring,1,Eid,25,Bizerte,869
2024-10,P010,Metformin,Diabetes,S008,4737,7879,220,16,67,74,63,2294,76,66526,59,12,0.85,10,4,Autumn,1,Ramadan,30,Gabes,2906
2023-12,P001,Paracetamol,Painkiller,S010,1069,4304,792,127,37,31,24,775,490,17050,61,3,0.75,12,4,Winter,0,Cold_Wave,50,Tunis,891
2025-07,P015,Salbutamol,Respiratory,S005,735,6231,121,69,139,138,148,2898,123,40572,50,4,0.77,7,3,Summer,0,Flu_Outbreak,70,Nabeul,2862
2024-12,P012,Nasal Spray,Respiratory,S005,4882,6536,371,115,83,107,119,4066,299,203300,59,17,0.89,12,4,Winter,1,Eid,25,Sfax,3451
2026-09,P009,Omeprazole,Digestive,S006,3935,7776,183,38,104,97,102,3298,235,102238,53,11,0.89,9,3,Autumn,0,Flu_Outbreak,70,Gabes,4039
2026-11,P010,Metformin,Diabetes,S002,1774,7898,576,299,51,56,49,1792,960,25088,61,17,0.71,11,4,Autumn,1,Ramadan,30,Sfax,1863
2026-12,P011,Azithromycin,Antibiotic,S003,3694,6366,431,36,179,207,198,7245,789,130410,55,2,0.91,12,4,Winter,1,Eid,25,Sousse,6380
2023-09,P005,Vitamin C,Supplement,S001,4554,7852,160,257,90,92,108,2668,189,85376,23,12,0.88,9,3,Autumn,1,Eid,25,Tunis,2590
2023-04,P008,Aspirin,Cardiology,S006,566,7279,673,154,89,112,125,4032,734,193536,21,3,0.92,4,2,Spring,0,Heat_Wave,40,Beja,3444
2024-01,P001,Paracetamol,Painkiller,S006,1434,6598,705,11,115,138,140,4830,71,236670,66,19,0.76,1,1,Winter,1,Eid,25,Sousse,3732
2024-10,P007,Insulin,Diabetes,S005,1355,6170,580,41,76,83,98,3071,405,150479,3,10,0.89,10,4,Autumn,1,Ramadan,30,Bizerte,3090
2026-09,P003,Amoxicillin,Antibiotic,S007,4120,6212,404,263,36,60,49,1200,257,43200,60,17,0.93,9,3,Autumn,0,Allergy_Season,60,Bizerte,2233
2022-11,P007,Insulin,Diabetes,S007,1378,4888,160,15,79,94,112,2350,383,94000,93,16,0.88,11,4,Autumn,0,None,0,Sfax,2126
2026-02,P007,Insulin,Diabetes,S007,4780,7829,533,29,118,126,111,2898,596,121716,22,10,0.76,2,1,Winter,1,Eid,25,Gabes,4817
2022-03,P001,Paracetamol,Painkiller,S001,4519,4611,320,198,82,72,53,2592,787,44064,21,11,0.83,3,1,Spring,0,Virus_Outbreak,90,Sousse,3140
2025-05,P006,Antihistamine,Allergy,S004,631,6075,233,278,121,124,121,2480,892,52080,17,14,0.91,5,2,Spring,0,Heat_Wave,40,Sfax,3849
2024-04,P013,Cetirizine,Allergy,S007,3553,4878,427,83,194,222,232,6438,185,141636,50,4,0.76,4,2,Spring,1,Eid,25,Bizerte,6698
2022-07,P011,Azithromycin,Antibiotic,S007,2432,5699,701,151,28,57,73,1767,186,31806,60,5,0.77,7,3,Summer,0,None,0,Beja,1718
2022-03,P011,Azithromycin,Antibiotic,S010,3023,4448,365,194,152,176,196,4048,651,56672,66,17,0.75,3,1,Spring,0,Flu_Outbreak,70,Gabes,6350
2022-10,P006,Antihistamine,Allergy,S001,3356,7010,372,243,22,32,34,832,181,49088,26,12,0.92,10,4,Autumn,0,Virus_Outbreak,90,Nabeul,1050
2022-02,P007,Insulin,Diabetes,S001,2802,7788,355,119,103,126,107,4158,941,220374,46,14,0.84,2,1,Winter,0,Cold_Wave,50,Tunis,3634
2025-09,P012,Nasal Spray,Respiratory,S004,708,7514,490,241,184,197,183,6698,675,395182,60,7,0.86,9,3,Autumn,0,Flu_Outbreak,70,Bizerte,7813
2022-11,P005,Vitamin C,Supplement,S009,2564,4438,461,225,45,37,53,888,276,39072,64,17,0.86,11,4,Autumn,1,Ramadan,30,Sousse,1126
2022-08,P005,Vitamin C,Supplement,S002,3623,5687,691,56,69,68,60,1700,876,86700,26,11,0.81,8,3,Summer,0,Heat_Wave,40,Gabes,2157
2026-04,P004,Cough Syrup,Respiratory,S002,2788,6480,394,273,22,40,56,1440,979,50400,36,3,0.88,4,2,Spring,1,Eid,25,Sousse,1606
2022-09,P007,Insulin,Diabetes,S003,3801,5959,651,28,27,24,24,648,690,4536,50,9,0.72,9,3,Autumn,1,Eid,25,Bizerte,781
2023-08,P005,Vitamin C,Supplement,S001,327,4160,422,243,86,111,108,3552,348,39072,69,6,0.93,8,3,Summer,0,Cold_Wave,50,Nabeul,2591
2024-11,P015,Salbutamol,Respiratory,S007,2076,7819,218,99,57,79,76,2765,608,85715,65,14,0.84,11,4,Autumn,0,Cold_Wave,50,Bizerte,2055
2022-12,P005,Vitamin C,Supplement,S008,1131,6143,178,110,107,133,138,3591,89,190323,63,19,0.93,12,4,Winter,0,Flu_Outbreak,70,Beja,3225
2024-07,P011,Azithromycin,Antibiotic,S003,2809,7766,168,25,99,108,94,2700,113,37800,41,3,0.91,7,3,Summer,0,Allergy_Season,60,Sfax,3967
2023-12,P012,Nasal Spray,Respiratory,S005,4818,6330,397,261,162,181,187,4344,199,95568,83,16,0.75,12,4,Winter,1,Eid,25,Tunis,3910
2026-05,P009,Omeprazole,Digestive,S005,3699,5856,127,4,28,54,71,1620,160,11340,46,4,0.73,5,2,Spring,0,Heat_Wave,40,Sfax,1685
2022-05,P009,Omeprazole,Digestive,S005,1282,4160,457,142,102,111,105,4107,331,209457,62,4,0.78,5,2,Spring,0,None,0,Bizerte,3515
2024-02,P010,Metformin,Diabetes,S009,4730,4399,587,35,80,104,86,3328,54,189696,45,4,0.7,2,1,Winter,1,Ramadan,30,Tunis,2528
2022-09,P002,Ibuprofen,Painkiller,S006,4651,4140,150,250,42,69,63,1380,113,6900,67,9,0.81,9,3,Autumn,0,Cold_Wave,50,Gabes,2358
2025-12,P015,Salbutamol,Respiratory,S009,3706,4446,707,188,109,132,132,2772,962,116424,8,16,0.84,12,4,Winter,1,Eid,25,Gabes,3407
2026-06,P013,Cetirizine,Allergy,S001,477,6552,523,283,96,106,100,4240,609,76320,23,16,0.73,6,2,Summer,0,None,0,Bizerte,3670
2022-09,P004,Cough Syrup,Respiratory,S008,3270,7121,497,199,39,53,50,1590,211,76320,15,10,0.99,9,3,Autumn,0,None,0,Bizerte,963
2022-07,P005,Vitamin C,Supplement,S002,1881,4407,234,27,52,52,34,1716,336,97812,17,19,0.77,7,3,Summer,0,Cold_Wave,50,Bizerte,1396
2025-04,P014,Diclofenac,Painkiller,S008,2372,5294,564,38,119,121,130,3025,95,124025,13,14,0.96,4,2,Spring,0,Cold_Wave,50,Beja,4011
2022-10,P010,Metformin,Diabetes,S005,1241,4726,174,110,112,134,118,3886,92,19430,37,2,0.94,10,4,Autumn,0,Flu_Outbreak,70,Bizerte,5111
2023-02,P005,Vitamin C,Supplement,S010,4208,6636,610,95,114,139,157,5560,680,316920,60,7,0.73,2,1,Winter,0,Virus_Outbreak,90,Sfax,4818
2023-11,P003,Amoxicillin,Antibiotic,S009,455,6764,656,15,167,179,185,6265,722,338310,63,6,0.94,11,4,Autumn,0,Flu_Outbreak,70,Tunis,3807
2022-10,P001,Paracetamol,Painkiller,S004,2387,7063,261,177,55,53,55,1749,694,43725,0,10,0.84,10,4,Autumn,0,Flu_Outbreak,70,Sousse,1824
2022-01,P001,Paracetamol,Painkiller,S007,2318,5248,645,206,96,113,113,3277,913,157296,67,7,0.72,1,1,Winter,0,Flu_Outbreak,70,Nabeul,4037
2023-07,P005,Vitamin C,Supplement,S003,4153,4333,766,245,79,108,88,2916,833,119556,36,4,0.8,7,3,Summer,0,Heat_Wave,40,Gabes,3276
2023-07,P003,Amoxicillin,Antibiotic,S010,2201,5093,538,68,32,33,19,891,553,43659,95,11,0.86,7,3,Summer,0,Heat_Wave,40,Tunis,1025
2025-06,P004,Cough Syrup,Respiratory,S004,2561,5180,714,235,129,127,133,2794,594,100584,62,3,0.8,6,2,Summer,0,Virus_Outbreak,90,Sousse,3119
2022-09,P015,Salbutamol,Respiratory,S002,3814,4821,647,202,78,78,73,2184,204,113568,98,4,0.95,9,3,Autumn,0,Heat_Wave,40,Beja,2351
2025-09,P012,Nasal Spray,Respiratory,S002,3361,5009,192,292,40,44,24,1540,684,89320,7,19,0.89,9,3,Autumn,0,None,0,Gabes,1350
2026-06,P002,Ibuprofen,Painkiller,S007,3695,6576,255,202,78,69,55,2277,566,102465,37,8,0.87,6,2,Summer,0,Flu_Outbreak,70,Beja,1551
2025-03,P007,Insulin,Diabetes,S005,2868,7272,774,121,27,41,59,1435,538,77490,92,13,0.8,3,1,Spring,0,Allergy_Season,60,Sfax,1413
2022-04,P006,Antihistamine,Allergy,S008,1262,5966,206,46,127,140,159,5320,204,313880,12,16,0.74,4,2,Spring,0,Heat_Wave,40,Bizerte,4859
2024-10,P012,Nasal Spray,Respiratory,S001,943,6539,633,124,30,57,64,1425,247,78375,11,19,0.95,10,4,Autumn,0,Cold_Wave,50,Beja,1398
2025-09,P006,Antihistamine,Allergy,S007,2727,4628,652,227,27,24,18,624,643,28704,17,9,0.78,9,3,Autumn,1,Ramadan,30,Gabes,903
2025-04,P010,Metformin,Diabetes,S004,2226,4844,786,134,88,106,91,3604,441,86496,73,10,0.91,4,2,Spring,0,None,0,Bizerte,2540
2024-08,P011,Azithromycin,Antibiotic,S006,1754,4417,572,143,76,69,52,1380,900,75900,87,19,0.71,8,3,Summer,1,Eid,25,Sfax,1420
2022-02,P009,Omeprazole,Digestive,S002,4281,6850,784,66,50,50,41,1500,865,84000,83,7,0.95,2,1,Winter,0,Heat_Wave,40,Sfax,1865
2024-08,P012,Nasal Spray,Respiratory,S004,4410,6720,361,167,20,14,5,560,873,12320,18,5,0.96,8,3,Summer,0,Heat_Wave,40,Bizerte,823
2023-11,P009,Omeprazole,Digestive,S009,428,4747,775,229,79,91,75,2639,176,50141,99,7,0.73,11,4,Autumn,1,Ramadan,30,Tunis,2329
2025-05,P007,Insulin,Diabetes,S010,3676,5821,315,233,58,73,85,2555,262,79205,41,8,0.96,5,2,Spring,1,Eid,25,Gabes,2018
2023-11,P003,Amoxicillin,Antibiotic,S003,289,7008,793,251,74,69,51,2622,851,128478,33,18,0.99,11,4,Autumn,0,Cold_Wave,50,Sousse,2187
2022-12,P003,Amoxicillin,Antibiotic,S001,3203,7135,354,65,130,154,146,3696,305,62832,91,18,0.73,12,4,Winter,1,Ramadan,30,Sfax,4570
2022-04,P006,Antihistamine,Allergy,S001,1364,4843,717,129,126,125,121,4000,92,52000,41,15,0.81,4,2,Spring,1,Eid,25,Gabes,4093
2022-06,P007,Insulin,Diabetes,S005,2089,5418,154,278,52,82,95,1722,256,101598,89,13,0.78,6,2,Summer,1,Ramadan,30,Sousse,3172
2024-05,P006,Antihistamine,Allergy,S002,3064,6947,609,282,86,110,94,4400,481,88000,86,2,0.9,5,2,Spring,0,Cold_Wave,50,Bizerte,3682
2026-11,P012,Nasal Spray,Respiratory,S008,229,6941,100,60,85,96,100,3456,123,34560,20,12,0.76,11,4,Autumn,0,None,0,Gabes,2471
2023-07,P004,Cough Syrup,Respiratory,S007,3297,4536,405,200,205,217,202,7378,337,44268,26,8,0.77,7,3,Summer,0,Virus_Outbreak,90,Beja,5993
2026-04,P003,Amoxicillin,Antibiotic,S010,1119,7852,638,28,45,51,43,1683,566,74052,55,7,0.81,4,2,Spring,1,Ramadan,30,Beja,1423
2023-05,P005,Vitamin C,Supplement,S008,2611,6858,442,48,96,121,107,4235,758,190575,42,11,0.9,5,2,Spring,0,Virus_Outbreak,90,Sousse,2636
2026-07,P013,Cetirizine,Allergy,S003,2792,4613,558,193,109,134,114,2814,539,75978,42,12,0.78,7,3,Summer,0,Virus_Outbreak,90,Bizerte,4469
2023-03,P013,Cetirizine,Allergy,S007,2975,6291,669,165,139,147,132,4998,92,64974,76,17,0.95,3,1,Spring,0,Virus_Outbreak,90,Tunis,4749
2026-02,P002,Ibuprofen,Painkiller,S007,1473,6701,406,224,51,61,58,2440,375,26840,74,5,0.95,2,1,Winter,0,None,0,Gabes,1688
2024-08,P011,Azithromycin,Antibiotic,S003,3977,4705,624,217,73,72,87,2736,724,76608,1,9,0.81,8,3,Summer,1,Eid,25,Sousse,2204
